site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
FR-Gri,CRO,48.84422,1.95191,128,0.394918981,0.614376157,1.091169634,0.202035968,0.391497986,0.422615758,0.5442,0.065,0.0828,0.1349276,0.282799473,11.10358352,738.1330277
FR-LBr,ENF,44.71711,-0.7693,96,0.783528474,0.386524785,0.544574286,0.171839683,0.274342474,0.279126158,0.2176,9.00E-04,0.008,0.330393661,0.339340491,13.83958554,837.729007
FR-Pue,EBF,43.7413,3.5957,168,0.358369479,0.787161191,0.493084953,0.223109937,0.3365281,0.38957476,0.5719,0.0328,0.0263,0.201354824,0.260453165,13.52276523,1098.614557
GF-Guy,EBF,5.27877,-52.92486,103,0.142081405,0.255741357,0.099321962,0.072877785,0.006032467,0.069194155,0.8081,0.0648,-0.0202,0.320479416,0.364773319,25.78477257,2425.076605
GH-Ank,EBF,5.26854,-2.69421,15,0.033004309,0.500488127,0.437076738,0.035968084,0.008248712,0.029302593,0.6901,0.0992,0.9293,0.060342046,1.088738303,25.339973,1957.032415
IT-BCi,CRO,40.52375,14.95744,120,0.509762707,0.456447357,0.818309785,0.122268699,0.249050356,0.223827368,0.5366,0.0623,0.1451,0.169831679,0.377211912,16.11434072,1269.934805
IT-CA1,DBF,42.38041,12.02656,48,0.685806879,0.428183616,0.691341405,0.150602797,0.25226753,0.234967623,0.4059,-0.0153,0.0587,0.287493688,0.33092072,14.46422355,954.9278418
IT-CA2,CRO,42.37722,12.02604,45,0.009992697,1.300685882,1.031044638,0.126579619,0.318104169,0.251401554,0.6344,0.0024,0.0328,0.085339168,0.120623632,14.46422355,954.9278418
IT-CA3,DBF,42.38,12.0222,48,0.524986438,0.656789323,1.048465493,0.142473259,0.26393417,0.258852805,0.563,0.0212,0.1766,0.226544622,0.424485126,14.46422355,954.9278418
IT-Col,DBF,41.84936,13.58814,142,0.811756606,0.44781431,0.861831443,0.20201065,0.452067899,0.551423806,0.2017,0.0024,0.0132,0.334836528,0.350369535,9.570963824,1102.304229
