year,month,site,lat,lon,type,T1_ERROR,T2_ERROR,T3_ERROR,T4_ERROR
2011,6,AT-Neu,47.11667,11.3175,GRA,0.467391271,0.977818671,0.541582305,0.702221411
2011,7,AT-Neu,47.11667,11.3175,GRA,0.489177011,0.968456462,0.526100312,0.716809429
2011,8,AT-Neu,47.11667,11.3175,GRA,0.385722577,0.971657594,0.56042203,0.633527408
2011,9,AT-Neu,47.11667,11.3175,GRA,0.552426146,0.924367436,0.479121452,0.75231185
2011,10,AT-Neu,47.11667,11.3175,GRA,0.626681441,0.490202958,0.117531936,0.906519042
2011,11,AT-Neu,47.11667,11.3175,GRA,0.275136422,0.162422753,0.359946735,0.974384254
2011,1,AT-Neu,47.11667,11.3175,GRA,0.633326754,0.314005897,6.56385818,1.041388458
2011,2,AT-Neu,47.11667,11.3175,GRA,0.151404063,0.079722813,1.842910176,1.011535857
2012,1,AT-Neu,47.11667,11.3175,GRA,0.670796005,0.328872999,8.620420119,1.042987392
2012,3,AT-Neu,47.11667,11.3175,GRA,0.510727652,0.335491446,0.228105795,0.942547757
2012,5,AT-Neu,47.11667,11.3175,GRA,0.640318313,0.846193503,0.39305575,0.795250666
2012,6,AT-Neu,47.11667,11.3175,GRA,0.433497747,0.98249976,0.545029303,0.656086336
2012,7,AT-Neu,47.11667,11.3175,GRA,0.430823966,0.981942347,0.579624858,0.654078808
2012,8,AT-Neu,47.11667,11.3175,GRA,0.402017886,0.969093055,0.583304804,0.623376712
2012,9,AT-Neu,47.11667,11.3175,GRA,0.603034974,0.892610669,0.480130704,0.774619828
2012,10,AT-Neu,47.11667,11.3175,GRA,0.680704044,0.577096944,0.266525542,0.887321115
2012,11,AT-Neu,47.11667,11.3175,GRA,0.415996924,0.257166122,0.05413071,0.957609786
2012,12,AT-Neu,47.11667,11.3175,GRA,0.437263507,0.219525192,2.230660005,1.030027596
2010,1,AU-ASM,-22.283,133.249,ENF,0.708868815,2.734223266,0,1.169301574
